sample_code,B,Na,Mg,Al,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Sr,Mo,Cd,Ba,Pb
we2 122419 01,7.081111246,1479.660494,672.6667225,64.78556886,62.68299919,1518.556279,15059.11283,1.78641891,1.948888061,0.636328765,1.09879037,21.16490812,0.041985157,0.857149157,5.336231455,10.67958876,0.542540242,0,39.67197348,0.173244883,0.036245365,15.41177626,0.488747618
we2 041619 02,7.3668866,1358.945585,465.8448928,126.9234899,132.1157106,930.5750311,13951.61309,3.093751546,2.736570438,0.708067605,1.15996023,46.01956096,0.187464428,0.776843715,7.712642291,30.53084147,0.414740639,0,38.92134302,0.067909057,0.030735924,9.998926205,0.118021313
we2 040619 01,6.743699859,1242.666508,391.5360777,103.2054986,49.64154443,842.1281103,10851.44793,3.08789205,2.164380331,0.755620932,0.529360077,40.20030773,0.379246514,1.210103873,8.655423745,29.69207356,0.841266589,0,32.33312837,0.170602206,0.028547457,7.041387706,0.127620634
we3 040719 04,2.045240061,207.1639279,27.3271547,21.76622653,83.41773006,636.6114793,891.30944,0.068187494,0.039606052,0.499807644,1.0585265,4.407644808,0.009160112,1.117461801,0.557546745,29.86177402,0.079879415,0,2.565410507,0.016296034,0.007433707,3.734900503,0.067773538
we3 040619 03,1.277110593,178.0566261,40.54579148,9.871777118,13.98296066,628.5182428,638.3307818,0.068187494,0.101661558,0.550111387,0.803138327,4.313122953,0.128937509,0.668936737,0.829037418,35.41428325,0.036107865,3.112651543,1.51895843,0.044498764,0,5.393352912,0.059294346
we3 010919 03,1.827409333,322.9978051,43.98136107,16.43342453,32.17704331,583.7730798,2882.776199,0.068187494,0.073322442,0.627041076,1.431365377,4.192301154,0.035633425,0.336455791,0.423526413,57.17550564,0.125564277,0,4.563499609,0.017187129,0.02209072,12.27233037,0.027817112
we3 011819 03,1.111305172,207.1865542,13.09847102,17.50488143,16.63342661,568.5332767,707.8160307,0.068187494,0.058335425,0.649692244,0.433032606,3.37920847,0.045490976,0.295738951,0.287616843,34.46157363,0.20827992,0,0.767698554,0.008413205,0.007233176,4.038405884,0.018628425
we2 122618 02,5.51998512,1479.891456,766.1256588,34.53427951,134.3381389,1587.860004,15419.44282,0.716500468,2.185357625,0.861585268,0.958980696,21.61295161,0.043543494,0.792231165,4.656876679,17.8237979,0.455490011,0,48.16730653,0.133085947,0.030150625,9.728391016,0.16838336
we3 122918 02,1.749352102,129.8708215,44.67925315,23.0942245,100.3075939,601.1845791,1693.11735,0.068187494,0.05821708,0.796544978,0.860365608,5.182009584,0.008868756,1.081638232,0.634416584,36.01056241,0.041288056,3.574290118,1.105578969,0.008006687,0,8.06272235,0.059476146
we2 010919 03,5.005998953,1264.180364,593.2221539,38.76392829,29.16657573,1229.808874,12631.36053,0.666630818,1.99596215,0.598443191,0.703768993,20.29366286,0.057314404,0.541650092,4.582592677,13.46193519,0.905665827,3.401327124,34.28644692,0.109073544,0.014347136,10.91492593,0.057364783
we3 010919 04,2.073938309,364.3926904,58.68988179,22.65942415,16.74290151,572.8422964,3307.547361,0.068187494,0.038375447,0.656372017,0.750470477,4.207509707,0.035771261,0.562594692,0.475651524,72.2257526,0.086765165,0,1.066557084,0.086696169,0.014308777,16.1819982,0.032504736
we3 011819 02,0.837551016,158.3042154,16.4139875,10.18660242,44.74017262,487.5539432,429.1141289,0.068187494,0.051951043,0.789044998,0.869387783,4.169312273,0.019859745,0.250744571,0.210076279,26.71152651,0,0,0.349073826,0.112870472,0.029017141,3.542192703,0.010846204
we3 122318 03,2.210783398,1051.178531,119.5841033,11.48480306,51.58591931,671.4745801,1153.949462,0.068187494,0.078058425,0.719805773,1.910556441,5.133845792,0.041399016,0.470683411,0.50998667,42.18446081,0.040602671,0,2.265093878,0.033952983,0.021903992,6.362776427,0.062638782
we3 122918 03,1.09981431,75.00754673,20.24062944,22.89557974,33.26676946,635.0735215,1292.944397,0.67836447,0.036830464,1.045143023,1.022055335,5.687712269,0.021511905,0.659392368,0.555030133,51.66326847,0.119745074,0,0,0.026396278,0.01469873,6.568285763,0.043831917
we2 011919 04,5.300161009,1329.615392,617.1893383,45.68837281,84.41298513,1381.487961,14456.07944,0.666629853,1.966170588,0.50559089,1.271348525,21.53845095,0.062001968,0.545342064,4.639538739,6.376867498,0.406777696,0,37.30283762,0.17832553,0.029126766,8.069899092,0.063010074
we2 041619 01,5.086599174,1150.37902,561.3538242,73.79636639,126.9405872,839.9250229,13662.44536,3.949658354,2.575238122,0.937731239,0.908832794,33.41711095,0.1610239,1.028983192,7.757854895,28.91823905,0.469187005,0,39.7447927,0.043724116,0,9.932155479,0.884004748
we3 041519 01,2.461272162,518.3985869,115.6167952,17.19414277,87.97747301,632.4554543,1518.76833,0.739825642,0.259293616,0.633257129,3.428269102,11.4306973,0.290792063,0.395979009,1.392769404,57.36338361,0.157849603,0,3.480998552,0.121031783,0.022247953,12.09215844,0.070277862
we3 041919 01,1.954759256,203.7680286,112.4032245,5.078555198,29.42090997,564.842029,3578.912901,1.206686013,0.256201147,0.715933568,1.304239501,5.444399092,0.100312224,0.923444958,3.395426284,166.5908496,0,0,4.919312118,0.075105084,0.027739072,19.853988,0.611307873
we3 040819 01,1.26083669,100.8998243,28.33204047,10.86037838,45.83596663,467.8337717,1743.017478,1.748188004,0.053279695,0.573151672,0.725042262,5.543424439,0.067304368,0.729377235,1.161640905,56.16006979,0.084913494,0,0.751401008,0.189480664,0.007355394,9.344365879,0.470725557
we2 040719 01,6.181953424,1186.360218,607.4668561,47.26408927,84.96747529,1037.333248,15452.78652,3.768606083,2.245622688,0.697606189,1.332358014,32.54369891,0.216048963,0.705312309,6.710109507,18.39560928,0.644932772,3.782654455,42.56883881,0.08991991,0.022765699,13.44012518,0.073727964
we2 040819 02,5.887556262,1205.460218,590.9662157,50.70467634,96.67378765,1100.341922,14908.36414,4.243509948,2.333769579,0.824528467,1.05872385,31.24502256,0.18836571,0.86508304,6.282122958,16.60944939,0.431720475,0,44.18440444,0.20115205,0.00750574,13.07513183,0.062025897
