"","storm_id","pollutant","roof","p_mg_m2"
"812",22,"Pb","con",0.000753
"813",22,"Pb","eco",0.000252
"814",22,"Se","con",0
"815",22,"Se","eco",0
"816",22,"Sr","con",0.0138
"817",22,"Sr","eco",0.171
"818",22,"Ti","con",0
"819",22,"Ti","eco",0.00165
"820",22,"V","con",0.000577
"821",22,"V","eco",0.00773
"822",22,"Zn","con",0.305
"823",22,"Zn","eco",0.0517
"824",23,"Al","con",0
"825",23,"Al","eco",0.0841
"826",23,"As","con",0.000513
"827",23,"As","eco",0.00256
"828",23,"B","con",0.0272
"829",23,"B","eco",0.0183
"830",23,"Ba","con",0.114
"831",23,"Ba","eco",0.0631
"832",23,"Ca","con",11.6
"833",23,"Ca","eco",69.7
"834",23,"Cd","con",0.000114
"835",23,"Cd","eco",0
"836",23,"Co","con",0.00137
"837",23,"Co","eco",0.000565
"838",23,"Cr","con",7.7e-05
"839",23,"Cr","eco",0.000132
"840",23,"Cu","con",0.011
"841",23,"Cu","eco",0.0222
"842",23,"Fe","con",0.0141
"843",23,"Fe","eco",0.106
"844",23,"K","con",0.41
"845",23,"K","eco",7.15
"846",23,"Mg","con",0.886
"847",23,"Mg","eco",3.49
"848",23,"Mn","con",0.00551
"849",23,"Mn","eco",0.00283
"850",23,"Mo","con",0.001
"851",23,"Mo","eco",0.0011
"852",23,"NH3","con",4.37
"853",23,"NH3","eco",3.51
